,city,city_ascii,lat,lon,country,iso2,iso3,admin_name,capital,population,id
19605,Sysert,Sysert,56.5,60.8167,Russia,RU,RUS,Sverdlovskaya Oblast’,NA,21029.0,1643162244
19606,West Pensacola,West Pensacola,30.4263,-87.2679,United States,US,USA,Florida,NA,21056.0,1840013915
19607,Harvey,Harvey,29.8876,-90.0666,United States,US,USA,Louisiana,NA,21054.0,1840013985
19608,Winschoten,Winschoten,53.15,7.0333,Netherlands,NL,NLD,Groningen,minor,20913.0,1528997124
19609,Johnstown,Johnstown,40.3499,-104.9481,United States,US,USA,Colorado,NA,21048.0,1840021369
19610,Sokal,Sokal,50.4833,24.2833,Ukraine,UA,UKR,L’vivs’ka Oblast’,NA,20986.0,1804008451
19611,Grand Island,Grand Island,43.0198,-78.9619,United States,US,USA,New York,NA,21047.0,1840087480
19612,Candiac,Candiac,45.38,-73.52,Canada,CA,CAN,Quebec,NA,21047.0,1124457982
19613,Gallipoli,Gallipoli,40.0556,17.9917,Italy,IT,ITA,Puglia,NA,20545.0,1380324772
19614,Zhangjiazhuang,Zhangjiazhuang,39.7804,118.2004,China,CN,CHN,Hebei,NA,20227.0,1156060807
19615,Bni Rzine,Bni Rzine,35.0108,-4.7262,Morocco,MA,MAR,Tanger-Tétouan-Al Hoceïma,NA,20904.0,1504313733
19616,Medina,Medina,-16.2228,-41.4769,Brazil,BR,BRA,Minas Gerais,NA,21026.0,1076322819
19617,Abano Terme,Abano Terme,45.3619,11.7924,Italy,IT,ITA,Veneto,NA,20101.0,1380340471
19618,Cockeysville,Cockeysville,39.4793,-76.63,United States,US,USA,Maryland,NA,21038.0,1840005680
19619,Žďár nad Sázavou,Zd'ar nad Sazavou,49.5627,15.9393,Czechia,CZ,CZE,Vysočina,NA,20485.0,1203204559
19620,Oro-Medonte,Oro-Medonte,44.5667,-79.5833,Canada,CA,CAN,Ontario,NA,21036.0,1124001350
19621,Jefferson,Jefferson,41.0003,-74.5531,United States,US,USA,New Jersey,NA,21035.0,1840081740
19622,Pleasant Prairie,Pleasant Prairie,42.5266,-87.8895,United States,US,USA,Wisconsin,NA,21034.0,1840003163
19623,Mirador,Mirador,-6.3708,-44.3628,Brazil,BR,BRA,Maranhão,NA,21031.0,1076000972
19624,Palma del Río,Palma del Rio,37.7,-5.2833,Spain,ES,ESP,Andalusia,NA,20928.0,1724000025
19625,Voiron,Voiron,45.3642,5.5906,France,FR,FRA,Auvergne-Rhône-Alpes,NA,20108.0,1250058509
19626,Mitry-Mory,Mitry-Mory,48.9839,2.6164,France,FR,FRA,Île-de-France,NA,20353.0,1250583978
19627,Liubotyn,Liubotyn,49.9489,35.9306,Ukraine,UA,UKR,Kharkivs’ka Oblast’,NA,20887.0,1804620993
19628,Shelbyville,Shelbyville,39.535,-85.7792,United States,US,USA,Indiana,NA,21028.0,1840009561
19629,Senguio,Senguio,19.7539,-100.3377,Mexico,MX,MEX,Michoacán de Ocampo,minor,19146.0,1484696811
19630,Bugalagrande,Bugalagrande,4.2075,-76.1575,Colombia,CO,COL,Valle del Cauca,minor,20970.0,1170646923
19631,Bloomfield,Bloomfield,41.8426,-72.7406,United States,US,USA,Connecticut,NA,21022.0,1840004778
19632,Tepezalá,Tepezala,22.2167,-102.1667,Mexico,MX,MEX,Aguascalientes,minor,20926.0,1484547139
19633,Gigaquit,Gigaquit,9.6,125.7,Philippines,PH,PHL,Surigao del Norte,NA,20864.0,1608408271
19634,Dudinka,Dudinka,69.4,86.1833,Russia,RU,RUS,Krasnoyarskiy Kray,NA,21015.0,1643923236
19635,Mühldorf,Muhldorf,48.2456,12.5228,Germany,DE,DEU,Bavaria,minor,20323.0,1276623949
19636,Nurota,Nurota,40.565,65.685,Uzbekistan,UZ,UZB,Navoiy,NA,21001.0,1860266981
19637,Comodoro,Comodoro,-13.6593,-59.7941,Brazil,BR,BRA,Mato Grosso,NA,21008.0,1076826121
19638,Hualqui,Hualqui,-36.9759,-72.9384,Chile,CL,CHL,Biobío,NA,20968.0,1152533945
19639,Lambari,Lambari,-21.9758,-45.35,Brazil,BR,BRA,Minas Gerais,NA,20907.0,1076960133
19640,Castel San Pietro Terme,Castel San Pietro Terme,44.3978,11.5894,Italy,IT,ITA,Emilia-Romagna,NA,20862.0,1380181797
19641,Roshal,Roshal,55.6667,39.8833,Russia,RU,RUS,Moskovskaya Oblast’,NA,20418.0,1643370665
19642,Caoayan,Caoayan,17.5333,120.4,Philippines,PH,PHL,Ilocos Sur,NA,19861.0,1608000679
19643,Varennes,Varennes,45.6833,-73.4333,Canada,CA,CAN,Quebec,NA,20994.0,1124232101
19644,St. Andrews,St. Andrews,34.051,-81.1057,United States,US,USA,South Carolina,NA,20990.0,1840135211
19645,Milwaukie,Milwaukie,45.4447,-122.6221,United States,US,USA,Oregon,NA,20990.0,1840019952
19646,Rivalta di Torino,Rivalta di Torino,45.0333,7.5333,Italy,IT,ITA,Piedmont,NA,20185.0,1380788921
19647,Maribojoc,Maribojoc,9.75,123.85,Philippines,PH,PHL,Bohol,minor,20688.0,1608369009
19648,Challans,Challans,46.8467,-1.8781,France,FR,FRA,Pays de la Loire,NA,20662.0,1250531482
19649,Madre de Deus,Madre de Deus,-12.7408,-38.6208,Brazil,BR,BRA,Bahia,NA,20348.0,1076769060
19650,Butiá,Butia,-30.12,-51.9619,Brazil,BR,BRA,Rio Grande do Sul,NA,20952.0,1076641089
19651,Bussolengo,Bussolengo,45.4667,10.85,Italy,IT,ITA,Veneto,NA,20142.0,1380760419
19652,Pedra,Pedra,-8.5006,-36.9456,Brazil,BR,BRA,Pernambuco,NA,20944.0,1076436337
19653,Guará,Guara,-20.4283,-47.8242,Brazil,BR,BRA,São Paulo,NA,20911.0,1076888362
19654,Bryant,Bryant,34.6152,-92.4914,United States,US,USA,Arkansas,NA,20968.0,1840013573
19655,Mae Sai,Mae Sai,20.4266,99.8841,Thailand,TH,THA,Chiang Rai,minor,20699.0,1764624336
19656,Nizhniy Lomov,Nizhniy Lomov,53.5333,43.6833,Russia,RU,RUS,Penzenskaya Oblast’,NA,20943.0,1643956972
19657,Urk,Urk,52.6653,5.6058,Netherlands,NL,NLD,Flevoland,minor,20776.0,1528778897
19658,Purranque,Purranque,-40.9167,-73.1667,Chile,CL,CHL,Los Lagos,NA,20949.0,1152468662
19659,Bohumín,Bohumin,49.9041,18.3576,Czechia,CZ,CZE,Moravskoslezský Kraj,NA,20308.0,1203275330
19660,Luckenwalde,Luckenwalde,52.0831,13.1667,Germany,DE,DEU,Brandenburg,minor,20522.0,1276376363
19661,Guipos,Guipos,7.7333,123.3167,Philippines,PH,PHL,Zamboanga del Sur,NA,20729.0,1608106395
19662,Enger,Enger,52.1333,8.5667,Germany,DE,DEU,North Rhine-Westphalia,NA,20461.0,1276241559
19663,Sêrro,Serro,-18.5204,-43.3807,Brazil,BR,BRA,Minas Gerais,NA,20940.0,1076331667
19664,Dillingen,Dillingen,49.35,6.7333,Germany,DE,DEU,Saarland,NA,20048.0,1276001038
19665,Siquinalá,Siquinala,14.3082,-90.9659,Guatemala,GT,GTM,Escuintla,minor,20843.0,1320866947
19666,Salmon Creek,Salmon Creek,45.7099,-122.6632,United States,US,USA,Washington,NA,20956.0,1840018520
19667,Hyde Park,Hyde Park,41.8011,-73.906,United States,US,USA,New York,NA,20954.0,1840058196
19668,Cruzeiro do Oeste,Cruzeiro do Oeste,-23.785,-53.0728,Brazil,BR,BRA,Paraná,NA,20947.0,1076303901
19669,Hernani,Hernani,43.2667,-1.9667,Spain,ES,ESP,Basque Country,NA,20438.0,1724313794
19670,Kill Devil Hills,Kill Devil Hills,36.0167,-75.6699,United States,US,USA,North Carolina,NA,20951.0,1840016154
19671,Oderzo,Oderzo,45.7808,12.4928,Italy,IT,ITA,Veneto,NA,20466.0,1380552197
19672,Araçoiaba,Aracoiaba,-7.79,-35.0908,Brazil,BR,BRA,Pernambuco,NA,20733.0,1076400121
19673,North Salt Lake,North Salt Lake,40.8439,-111.9187,United States,US,USA,Utah,NA,20948.0,1840020144
19674,Apollo Beach,Apollo Beach,27.7618,-82.4002,United States,US,USA,Florida,NA,20947.0,1840014149
19675,Valença do Piauí,Valenca do Piaui,-6.4078,-41.7458,Brazil,BR,BRA,Piauí,NA,20929.0,1076056568
19676,Traunstein,Traunstein,47.8683,12.6433,Germany,DE,DEU,Bavaria,minor,20520.0,1276793310
19677,’Aïn el Hammam,'Ain el Hammam,36.5647,4.3061,Algeria,DZ,DZA,Tizi Ouzou,NA,20401.0,1012595495
19678,Herborn,Herborn,50.6825,8.3061,Germany,DE,DEU,Hesse,NA,20603.0,1276002994
19679,Al Brouj,Al Brouj,32.5,-7.2,Morocco,MA,MAR,Casablanca-Settat,NA,19235.0,1504448147
19680,Comala,Comala,19.3208,-103.7603,Mexico,MX,MEX,Colima,minor,20888.0,1484287042
19681,Bombinhas,Bombinhas,-27.1378,-48.5169,Brazil,BR,BRA,Santa Catarina,NA,20335.0,1076894216
19682,Gauting,Gauting,48.0678,11.3739,Germany,DE,DEU,Bavaria,NA,20552.0,1276677644
19683,Vico Equense,Vico Equense,40.6667,14.4333,Italy,IT,ITA,Campania,NA,20919.0,1380413196
19684,Ararat,Ararat,39.8094,44.7144,Armenia,AM,ARG,Ararat,NA,20800.0,1051804328
19685,Osa,Osa,57.2833,55.45,Russia,RU,RUS,Permskiy Kray,NA,20899.0,1643282459
19686,Kurovskoye,Kurovskoye,55.5833,38.9167,Russia,RU,RUS,Moskovskaya Oblast’,NA,20844.0,1643003596
19687,Catarina,Catarina,-6.1308,-39.8778,Brazil,BR,BRA,Ceará,NA,20871.0,1076764846
19688,Kremenets,Kremenets,50.1081,25.7275,Ukraine,UA,UKR,Ternopil’s’ka Oblast’,minor,20837.0,1804050857
19689,Cornelia,Cornelia,34.517,-83.531,United States,US,USA,Georgia,NA,20913.0,1840014661
19690,Schifferstadt,Schifferstadt,49.3861,8.3761,Germany,DE,DEU,Rhineland-Palatinate,NA,20193.0,1276776055
19691,Suwanee,Suwanee,34.0506,-84.0687,United States,US,USA,Georgia,NA,20907.0,1840015616
19692,New Hope,New Hope,45.0374,-93.3869,United States,US,USA,Minnesota,NA,20907.0,1840007829
19693,Ubaitaba,Ubaitaba,-14.3128,-39.3228,Brazil,BR,BRA,Bahia,NA,20813.0,1076532739
19694,Gerlingen,Gerlingen,48.8,9.0653,Germany,DE,DEU,Baden-Württemberg,NA,19745.0,1276144443
19695,Carmen,Carmen,8.9999,125.2648,Philippines,PH,PHL,Agusan del Norte,NA,20839.0,1608585358
